City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
174,Dvinskoy,RU,62.1535,45.1175,18.46,88,100,9.95,overcast clouds
175,Khani,GE,41.9563,42.9566,45.97,80,100,1.21,overcast clouds
176,Tarakan,ID,3.3,117.6333,85.5,74,75,8.05,broken clouds
177,Luderitz,NA,-26.6481,15.1594,65.75,90,94,8.81,overcast clouds
178,Kavaratti,IN,10.5669,72.642,81.79,69,0,8.05,clear sky
179,Voh,NC,-20.9667,164.7,82.92,66,90,4.38,overcast clouds
180,Lavrentiya,RU,65.5833,-171.0,-2.16,84,38,3.96,scattered clouds
181,Grindavik,IS,63.8424,-22.4338,21.67,68,20,17.27,few clouds
182,San Quintin,MX,30.4833,-115.95,58.17,57,100,5.66,overcast clouds
183,Piacabucu,BR,-10.4056,-36.4344,77.43,84,100,10.47,overcast clouds
184,Alamosa,US,37.4695,-105.87,19.38,86,100,9.22,overcast clouds
185,Port Hedland,AU,-20.3167,118.5667,96.85,41,0,18.41,clear sky
186,Viedma,AR,-40.8135,-62.9967,56.01,68,3,9.01,clear sky
187,Half Moon Bay,US,37.4636,-122.4286,51.31,77,0,8.05,clear sky
188,Ekibastuz,KZ,51.6667,75.3667,-6.56,84,2,6.17,clear sky
189,Vestnes,NO,62.6264,7.0884,31.84,80,100,9.22,snow
190,Vila Velha,BR,-20.3297,-40.2925,71.55,92,0,2.3,clear sky
191,Umm Lajj,SA,25.0213,37.2685,72.99,35,0,12.17,clear sky
192,Sibu,MY,2.3,111.8167,77.31,88,40,5.01,scattered clouds
193,Victoria,HK,22.2855,114.1577,66.25,91,100,7.43,overcast clouds
194,Catalina,US,32.5056,-110.9211,42.91,69,92,1.01,overcast clouds
195,Fairbanks,US,64.8378,-147.7164,7.14,79,100,4.61,light snow
196,Khatanga,RU,71.9667,102.5,-12.23,90,100,9.62,overcast clouds
197,Nahan,IN,30.55,77.3,60.53,27,0,2.42,clear sky
198,Kulunda,RU,52.566,78.9385,-8.9,88,9,8.28,clear sky
199,Port Lincoln,AU,-34.7333,135.8667,63.66,57,53,16.42,broken clouds
200,Livingstonia,MW,-10.606,34.1063,64.09,81,92,2.19,overcast clouds
201,Vao,NC,-22.6667,167.4833,77.56,64,1,9.64,clear sky
202,La Ronge,CA,55.1001,-105.2842,-1.95,84,0,10.36,clear sky
203,Constancia,MX,24.2231,-107.1869,58.19,66,32,6.4,scattered clouds
204,Channel-Port Aux Basques,CA,47.5702,-59.1367,35.87,73,85,20.56,overcast clouds
205,Kisesa,TZ,-3.0833,34.15,62.44,88,72,4.81,light rain
206,Assai,BR,-23.3733,-50.8414,73.26,73,77,1.52,broken clouds
207,Mercedes,AR,-34.6515,-59.4307,65.79,60,0,8.05,clear sky
208,Sitka,US,57.0531,-135.33,42.69,87,100,8.05,light rain
209,Nara,JP,34.6851,135.8049,53.96,48,21,10.33,few clouds
210,Namibe,AO,-15.1961,12.1522,67.62,83,65,4.7,broken clouds
211,Komsomolskiy,UZ,40.4272,71.7189,32.72,80,2,4.61,mist
212,Samarai,PG,-10.6167,150.6667,84.78,72,99,8.03,overcast clouds
213,Jiblah,YE,13.9216,44.1467,54.68,67,54,2.48,broken clouds
214,Alghero,IT,40.5589,8.3181,60.89,88,40,16.11,scattered clouds
215,Wajima,JP,37.4,136.9,38.08,100,75,5.75,light shower sleet
216,Dunedin,NZ,-45.8742,170.5036,61.81,98,100,3.87,overcast clouds
217,Luoyang,CN,34.6836,112.4536,35.76,22,100,4.97,overcast clouds
218,Talnakh,RU,69.4865,88.3972,2.21,90,100,14.27,overcast clouds
219,Ust-Kuyga,RU,70.0167,135.6,-52.24,100,95,2.57,overcast clouds
220,Axim,GH,4.8699,-2.2405,77.63,86,96,5.48,light rain
221,San Juan Del Sur,NI,11.2529,-85.8705,78.13,84,30,18.28,scattered clouds
222,Miandrivazo,MG,-19.5167,45.4667,80.1,69,82,2.17,broken clouds
223,Ternate,ID,0.8,127.4,84.63,70,84,7.74,broken clouds
224,Beloha,MG,-25.1667,45.05,74.68,79,100,5.95,overcast clouds
225,Caravelas,BR,-17.7125,-39.2481,67.68,97,100,2.71,moderate rain
226,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,69.57,40,2,5.61,clear sky
227,North Bend,US,43.4065,-124.2243,40.06,93,0,3.44,clear sky
228,Mopti,ML,14.6667,-4.0,60.84,59,0,2.3,clear sky
229,Meadow Lake,US,34.8014,-106.5436,34.29,49,30,8.7,scattered clouds
230,Ostrovnoy,RU,68.0531,39.5131,15.87,89,88,27.42,overcast clouds
231,Yenagoa,NG,4.9247,6.2642,75.4,91,23,3.78,few clouds
232,Zharkent,KZ,44.1628,80.0,19.6,72,2,2.04,clear sky
233,Bogotol,RU,56.2078,89.5342,-7.6,96,33,3.96,scattered clouds
234,Bredasdorp,ZA,-34.5322,20.0403,68.7,95,100,7.74,overcast clouds
235,Mitsamiouli,KM,-11.3847,43.2844,77.29,78,20,2.3,few clouds
236,Camabatela,AO,-8.1881,15.375,60.19,98,99,0.18,light rain
237,Hovd,MN,48.0056,91.6419,1.58,58,2,0.89,clear sky
238,Kalmunai,LK,7.4167,81.8167,81.12,72,33,10.89,scattered clouds
239,Bathsheba,BB,13.2167,-59.5167,80.06,90,40,18.41,light rain
240,Carballo,ES,43.213,-8.691,52.86,93,97,4.56,overcast clouds
241,Mount Gambier,AU,-37.8333,140.7667,60.85,63,95,12.73,overcast clouds
242,Taoudenni,ML,22.6783,-3.9836,71.29,37,0,10.92,clear sky
243,Aksu,CN,41.1231,80.2644,23.79,50,0,4.38,clear sky
244,Saint Anthony,US,45.0205,-93.218,33.24,94,100,6.91,mist
245,Naze,JP,28.3667,129.4833,61.72,82,100,16.87,light rain
246,Kidal,ML,18.4411,1.4078,68.65,20,0,8.99,clear sky
247,Saint George,US,37.1041,-113.5841,41.59,51,0,3.0,clear sky
248,Harper,LR,4.375,-7.7169,77.34,84,22,5.26,few clouds
249,Zalantun,CN,48.0,122.7167,3.25,45,11,14.85,few clouds
250,Lagoa,PT,39.05,-27.9833,59.47,87,100,22.1,overcast clouds
251,Maku,IR,39.2911,44.4521,38.59,83,88,4.76,overcast clouds
252,Saint-Philippe,RE,-21.3585,55.7679,80.19,84,58,14.43,light rain
253,Berdigestyakh,RU,62.0989,126.6992,-24.39,98,100,4.74,overcast clouds
254,Dikson,RU,73.5069,80.5464,10.71,94,100,19.73,light snow
255,Dhidhdhoo,MV,6.8833,73.1,81.68,73,5,14.61,clear sky
256,Ati,TD,13.2154,18.3353,66.78,19,62,10.04,broken clouds
257,Lagos,NG,6.5833,3.75,79.12,91,62,1.1,light rain
258,Sechura,PE,-5.5569,-80.8222,69.37,79,67,8.52,broken clouds
259,Coquimbo,CL,-29.9533,-71.3436,60.53,100,75,6.91,broken clouds
260,Mayya,RU,61.7333,130.2811,-49.68,100,100,2.01,overcast clouds
261,Shimoda,JP,34.6667,138.95,55.76,60,1,23.17,clear sky
262,Hecun,CN,36.5333,114.1111,29.59,21,100,3.94,overcast clouds
263,Rangapara,IN,26.8167,92.65,71.71,53,6,5.1,clear sky
264,Touros,BR,-5.1989,-35.4608,77.13,81,100,10.8,overcast clouds
265,Ocos,GT,14.5094,-92.1933,76.96,77,6,5.97,clear sky
266,Codrington,AU,-38.2667,141.9667,61.21,65,87,17.11,overcast clouds
267,Cockburn Town,TC,21.4612,-71.1419,78.17,66,0,17.22,clear sky
268,Vicuna,CL,-30.0319,-70.7081,53.33,53,8,1.68,clear sky
269,Segovia,ES,41.1667,-4.0,38.43,83,100,1.95,overcast clouds
270,Vila,PT,42.0304,-8.1588,43.68,95,100,5.59,overcast clouds
271,Bilibino,RU,68.0546,166.4372,-0.18,90,100,4.47,overcast clouds
272,Kenai,US,60.5544,-151.2583,19.15,92,0,4.61,fog
273,Mangai,CD,-4.05,19.5333,66.94,98,95,0.54,overcast clouds
274,Berezivka,UA,47.2043,30.9078,33.57,98,79,7.27,broken clouds
275,Grand-Lahou,CI,5.1367,-5.0242,76.57,87,5,7.49,light rain
276,Kulhudhuffushi,MV,6.6221,73.07,81.57,74,5,13.58,clear sky
277,Eastbourne,GB,50.7687,0.2845,31.71,87,4,3.0,clear sky
278,Vaitape,PF,-16.5167,-151.75,80.37,79,100,16.69,overcast clouds
