City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Portland,US,2022-12-10 22:00:30,45.5234,-122.6762,52.09,89,100,8.99
213,Kahului,US,2022-12-10 22:00:30,20.8947,-156.47,79.97,74,64,25.99
214,Russell,US,2022-12-10 22:01:40,32.3502,-85.1999,63.97,79,100,3.38
215,Mackay,AU,2022-12-10 22:04:36,-21.15,149.2,80.69,68,32,8.81
216,Aquiraz,BR,2022-12-10 22:02:32,-3.9014,-38.3911,81.18,79,11,11.61
217,Manggar,ID,2022-12-10 22:05:25,-2.8833,108.2667,79.88,80,100,6.67
218,Zharkent,KZ,2022-12-10 22:05:26,44.1628,80.0,6.94,77,6,5.14
219,Ust-Kulom,RU,2022-12-10 22:05:26,61.6864,53.6902,5.36,98,90,4.72
220,Mogadishu,SO,2022-12-10 22:05:27,2.0371,45.3438,79.56,76,100,14.81
221,Skoghall,SE,2022-12-10 22:05:27,59.3232,13.4655,16.36,92,75,6.91
222,Eenhana,NA,2022-12-10 22:05:27,-17.4667,16.3333,73.13,56,31,5.26
223,Akureyri,IS,2022-12-10 22:05:28,65.6835,-18.0878,14.92,76,3,3.98
224,Pevek,RU,2022-12-10 22:05:28,69.7008,170.3133,-12.01,94,100,13.44
225,Floro,NO,2022-12-10 22:05:28,61.5996,5.0328,28.96,74,1,6.91
226,Draguignan,FR,2022-12-10 22:05:29,43.5333,6.4667,43.84,77,1,11.16
227,Aurich,DE,2022-12-10 22:02:16,53.4667,7.4833,30.97,96,100,5.75
228,Channel-Port Aux Basques,CA,2022-12-10 22:05:29,47.5702,-59.1367,28.08,76,58,22.41
229,Lubumbashi,CD,2022-12-10 22:05:29,-11.6609,27.4794,62.42,90,54,2.95
230,Waingapu,ID,2022-12-10 22:06:29,-9.6567,120.2641,79.05,74,100,2.82
231,Lorengau,PG,2022-12-10 22:03:22,-2.0226,147.2712,81.59,76,99,0.98
232,Chavakkad,IN,2022-12-10 22:06:30,10.5333,76.05,76.39,84,92,5.48
233,Medina Del Campo,ES,2022-12-10 22:05:51,41.3124,-4.9141,44.71,80,100,6.91
234,Ambanja,MG,2022-12-10 22:06:30,-13.6833,48.45,75.31,89,22,2.66
235,Bibiani,GH,2022-12-10 22:06:30,6.4635,-2.3194,76.28,61,78,2.59
236,Ratnagiri,IN,2022-12-10 22:06:31,16.9833,73.3,73.4,46,31,3.83
237,Jepelacio,PE,2022-12-10 22:06:31,-6.1167,-76.95,71.62,92,88,1.23
238,College,US,2022-12-10 22:06:31,64.8569,-147.8028,6.78,81,75,4.61
239,Bonavista,CA,2022-12-10 22:03:02,48.6499,-53.1147,34.09,98,78,22.77
240,Numan,NG,2022-12-10 22:06:31,9.4667,12.0333,76.24,22,1,3.78
241,Praia,CV,2022-12-10 22:06:32,14.9215,-23.5087,75.43,81,9,12.48
242,Bandarbeyla,SO,2022-12-10 22:06:32,9.4942,50.8122,76.91,70,100,19.1
243,Walvis Bay,NA,2022-12-10 22:06:32,-22.9575,14.5053,62.1,86,0,12.64
244,Tokur,RU,2022-12-10 22:06:33,53.1333,132.9,-21.06,100,100,2.68
245,Atbasar,KZ,2022-12-10 22:06:33,51.8,68.3333,0.72,84,43,8.77
246,Morozovsk,RU,2022-12-10 22:06:33,48.3539,41.8261,36.66,96,96,18.84
247,Redlands,US,2022-12-10 22:06:33,34.0556,-117.1825,65.17,56,3,1.01
248,Lamballe,FR,2022-12-10 22:06:34,48.4676,-2.5144,36.54,92,8,7.99
249,Mattru,SL,2022-12-10 22:06:34,7.6244,-11.8332,76.33,88,100,2.53
250,Iqaluit,CA,2022-12-10 22:06:34,63.7506,-68.5145,-10.62,82,2,13.44
251,Fuxin,CN,2022-12-10 22:06:35,42.0156,121.6589,18.64,47,0,3.49
252,Saskylakh,RU,2022-12-10 22:06:35,71.9167,114.0833,-6.21,98,100,6.91
253,Hengyang,CN,2022-12-10 22:06:35,26.8881,112.615,46.54,75,100,11.43
254,Hambantota,LK,2022-12-10 22:06:35,6.1241,81.1185,71.94,100,40,0.0
255,Beyneu,KZ,2022-12-10 22:06:36,45.3167,55.2,23.83,83,5,10.36
256,Hasaki,JP,2022-12-10 22:06:36,35.7333,140.8333,41.4,75,51,11.99
257,Lagoa,PT,2022-12-10 22:06:36,39.05,-27.9833,64.13,75,3,34.18
258,Antalaha,MG,2022-12-10 22:06:36,-14.9003,50.2788,72.81,87,6,5.64
259,Koungou,YT,2022-12-10 22:06:37,-12.7336,45.2042,80.31,83,0,6.91
260,Dong Hoi,VN,2022-12-10 22:06:37,17.4833,106.6,68.31,94,98,8.93
261,San Quintin,MX,2022-12-10 22:06:37,30.4833,-115.95,63.43,54,0,14.81
